WorkUID	ItemUID	ImageGroupUID	Series	Subject	Title	Description	Author	AuthorDate	JointAuthor	Commentary	Commentator	Editor	Language	Script 	Scribe	Material	Size_inches	Lines	LettersPerLine	Status	Library	LibraryAddress	Owner	MSSSource	Condition 	Folios	Granthas	CopiedFrom	ObtainedFrom	Publication 	Year 	Edition 	ShelfNo	RowNo	Remarks
W.ISKS1RC5341.001	ISKS1RC5341	IG.ISKS1RC5341.001	5341	MIMAMSA	Mimamsa Darsanam Jaimini mamsa sutra pathah		Kevalanadasaraswati	1948					Sanskrit	Devanagari		Paper	63.24X9.55			C					Good	563				V.G.Joshi, for Pathashala Mandal,Wai, Dist. Satara.					
W.ISKS1RC5342.001	ISKS1RC5342	IG.ISKS1RC5342.001	5342	MIMAMSA	Mimamsa darshane Shabarbhahye								Sanskrit	Devanagari		Paper	4.91X8.5			C					Good	571									
W.ISKS1RC5343.001	ISKS1RC5343	IG.ISKS1RC5343.001	5343	MIMAMSA	Mimamsa -Nyaya-Prakash      		Sri Apadeva	1983		Kamalpathy Tripady/Pattabhiramasastri			Sanskrit	Devanagari		Paper	6X9.47			C					Good	23				Sri Lalbahadur Kendriya Sanskrit Vidyapeetha 					
W.ISKS1RC5344.001	ISKS1RC5344	IG.ISKS1RC5344.001	5344	MIMAMSA	Mimamsa-Shabar- Bhashayam Part-1		Achariya Sbarswami	1977					Sanskrit	Devanagari		Paper	6.22X9.61			C					Good	45									
W.ISKS1RC5345.001	ISKS1RC5345	IG.ISKS1RC5345.001	5345	MIMAMSA	Mimamsa darshan                   		Sri ram sarma acharya	1974					Sanskrit	Devanagari		Paper	4.92X7.18			C					Good	356				Chamanlal Gowtham,samskriti samstan,Barli					
W.ISKS1RC5346.001	ISKS1RC5346	IG.ISKS1RC5346.001	5346	MIMAMSA	Mimamsablaprakasha		Sree Bhatta Shankar	1902		Pandit Mukunda shastri			Sanskrit	Devanagari		Paper	4.36X6.9			C					Good	94				The Chowkhamba Sanskrit Book-Depot					
W.ISKS1RC5347.001	ISKS1RC5347	IG.ISKS1RC5347.001	5347	MIMAMSA	Mimamsadarshane		Sri Sabaraswami						Sanskrit	Devanagari		Paper	5.26x8.42			C					Good	541									
W.ISKS1RC5348.001	ISKS1RC5348	IG.ISKS1RC5348.001	5348	MIMAMSA	Nyayasindhantamuktavali		Sri Visvsnatha tarka panjanana	1985		Darmendra nata shastri	Nyayakarikavali (Bashaparicheta)	Sri Visvsnatha tarka panjanana	Sanskrit	Devanagari		Paper	5.62X8.46			C					Good	267				Motilsal Bnarasi dass					
W.ISKS1RC5349.001	ISKS1RC5349	IG.ISKS1RC5349.001	5349	MIMAMSA	Paryatana mimamsa								Sanskrit	Devanagari		Paper	4.80X7.71			C					Good	111									
W.ISKS1RC5350.001	ISKS1RC5350	IG.ISKS1RC5350.001	5350	MIMAMSA	Picture Album of the Practical Apparatus for the Scientifics study or Purva Mimamsa								Sanskrit	Devanagari		Paper	8.78X6.74			C					Good	24									
W.ISKS1RC5351.001	ISKS1RC5351	IG.ISKS1RC5351.001	5351	MIMAMSA	Sankarsa Kanda Stras of Jaimini		K.V.Sarma,M.A.,B.Sc.	1963					Sanskrit/English	Devanagari/Roman		Paper	6.28X9.63			C					Good	51				The Vishveshvaranand Vedic Research Institute,P.O. Sadhu Ashram, Hoshiapur (Pb., India).					
W.ISKS1RC5352.001	ISKS1RC5352	IG.ISKS1RC5352.001	5352	MIMAMSA	Sastradipika (Tantrapada)		Parthasarathi Misra	1940		D.Venkatramiah, B.A.,L.T.			English	Roman		Paper	6X9.53			C					Good	276				The Oriental Institute Baroda					
W.ISKS1RC5353.001	ISKS1RC5353	IG.ISKS1RC5353.001	5353	MIMAMSA	Sastradipika 		Parthasarathi Misra	1978		Dr.C.R.Swaminathan/Achrya P.N. Pattabhirama Sastri	Prabha   1st Part	TatsatVydyanatha	Sanskrit	Devanagari		Paper	6.11X9.32			C					Good	524				Sri Lalbahadur Kendriya Sanskrit Vidyapeetha 					
W.ISKS1RC5354.001	ISKS1RC5354	IG.ISKS1RC5354.001	5354	MIMAMSA	Shabara -Bhasya Vol.III		Ganganatha Jha	1936					English	Roman		Paper	5.84X9.3			C					Good	964				The Oriental Institute Baroda					
W.ISKS1RC5355.001	ISKS1RC5355	IG.ISKS1RC5355.001	5355	MIMAMSA	Sabara -Bhasya Vol.I		Ganganatha Jha	1933					English	Roman		Paper	5.62X9.26			C					Good	157				The Oriental Institute Baroda					
W.ISKS1RC5356.001	ISKS1RC5356	IG.ISKS1RC5356.001	5356	MIMAMSA	Sastradipika Part II		Parthasarathi Misra	                          1980-81					Sanskrit	Devanagari		Paper	5.6X9.34			C					Good	638				Sri Lalbahadur Sastri Kendriya Sanskrit Vidyapeetha 					
W.ISKS1RC5357.001	ISKS1RC5357	IG.ISKS1RC5357.001	5357	ASTRONOMY	Aryabhata_II_BEA																														
W.ISKS1RC5358.001	ISKS1RC5358	IG.ISKS1RC5358.001	5358	ASTRONOMY	Aryabhatiya part Two																														
W.ISKS1RC5359.001	ISKS1RC5359	IG.ISKS1RC5359.001	5359	ASTRONOMY	Aryabhatiya_with_Bhaskara+_Someshwar_Commentary																														